id,target
"[0, 0]",0.33333
"[0, 1]",0.25494
"[0, 2]",0.66618
"[0, 3]",0.33160
"[0, 4]",0.21769
"[0, 5]",0.28249
"[0, 6]",0.33340
"[0, 7]",0.66570
"[0, 8]",0.42634
"[0, 9]",0.33333
"[0, 10]",0.65177
"[0, 11]",0.66663
"[0, 12]",0.66662
"[0, 13]",0.66662
"[0, 14]",0.66662
"[0, 15]",0.66592
"[0, 16]",0.33333
"[0, 17]",0.10971
"[0, 18]",0.33333
"[0, 19]",0.05347
"[0, 20]",0.04971
"[0, 21]",0.33250
"[0, 22]",0.66100
"[0, 23]",0.33333
"[0, 24]",0.63278
"[0, 25]",0.90046
"[0, 27]",0.66644
"[0, 28]",0.63901
"[0, 29]",0.63996
"[0, 30]",0.36751
"[0, 31]",0.36288
"[0, 32]",0.28229
"[0, 33]",0.33310
"[0, 34]",0.66663
"[0, 35]",0.66663
"[0, 36]",0.66644
"[0, 37]",0.33459
"[0, 38]",0.66580
"[0, 39]",0.60960
"[0, 40]",0.33338
"[0, 41]",0.37347
"[0, 42]",0.66641
"[0, 43]",0.65403
"[0, 44]",0.33333
"[0, 46]",0.60555
"[0, 47]",0.99200
"[0, 48]",0.67400
"[0, 50]",0.51185
"[0, 51]",0.33334
"[0, 52]",0.66651
"[0, 53]",0.68269
"[0, 54]",0.00171
"[0, 55]",0.66503
"[0, 57]",0.97673
"[0, 58]",0.33333
"[0, 60]",0.33333
"[0, 61]",0.66562
"[0, 62]",0.33334
"[0, 63]",0.33333
"[0, 64]",0.33333
"[0, 65]",0.66452
"[0, 66]",0.99231
"[0, 67]",0.66644
"[0, 69]",0.53191
"[0, 70]",0.45456
"[0, 71]",0.33774
"[0, 72]",0.36773
"[0, 73]",0.66661
"[0, 74]",0.66586
"[0, 75]",0.33334
"[0, 76]",0.33333
"[0, 77]",0.33333
"[0, 78]",0.60901
"[0, 79]",0.58643
"[0, 266]",0.39576
"[0, 81]",0.67680
"[0, 82]",0.67621
"[0, 83]",0.67596
"[0, 84]",0.66513
"[0, 85]",0.66494
"[0, 86]",0.66557
"[0, 88]",0.66644
"[0, 89]",0.33335
"[0, 91]",0.33334
"[0, 93]",0.33333
"[0, 94]",0.33951
"[0, 95]",0.57197
"[0, 96]",0.33333
"[0, 98]",0.33333
"[0, 99]",0.66447
"[0, 267]",0.41216
"[0, 101]",0.90884
"[0, 102]",0.32046
"[0, 103]",0.91773
"[0, 104]",0.33333
"[0, 105]",0.33415
"[0, 106]",0.33390
"[0, 107]",0.38271
"[0, 108]",0.33333
"[0, 109]",0.99264
"[0, 110]",0.66651
"[0, 111]",0.66639
"[0, 112]",0.99256
"[0, 113]",0.66078
"[0, 114]",0.66654
"[0, 115]",0.68172
"[0, 116]",0.47078
"[0, 117]",0.99462
"[0, 118]",0.98715
"[0, 119]",0.00004
"[0, 120]",0.66660
"[0, 121]",0.66496
"[0, 122]",0.33333
"[0, 123]",0.33333
"[0, 124]",0.34265
"[0, 125]",0.37274
"[0, 126]",0.66582
"[0, 127]",0.66919
"[0, 128]",0.66652
"[0, 129]",0.66655
"[0, 130]",0.66643
"[0, 131]",0.33512
"[0, 132]",0.23226
"[0, 133]",0.33333
"[0, 134]",0.33333
"[0, 135]",0.66638
"[0, 136]",0.66068
"[0, 137]",0.66636
"[0, 138]",0.66644
"[0, 139]",0.45764
"[0, 140]",0.66089
"[0, 141]",0.63639
"[0, 142]",0.66662
"[0, 143]",0.47305
"[0, 144]",0.66539
"[0, 145]",0.31595
"[0, 146]",0.00640
"[0, 147]",0.24035
"[0, 148]",0.00124
"[0, 149]",0.33333
"[0, 151]",0.33333
"[0, 152]",0.33333
"[0, 153]",0.50948
