id,target
"[0, 0]",0.66667
"[0, 1]",0.51783
"[0, 2]",0.33668
"[0, 3]",0.33454
"[0, 4]",0.62241
"[0, 5]",0.39711
"[0, 6]",0.66667
"[0, 7]",0.33651
"[0, 8]",0.66664
"[0, 9]",0.66667
"[0, 10]",0.64251
"[0, 11]",0.33346
"[0, 12]",0.33336
"[0, 13]",0.33336
"[0, 14]",0.33361
"[0, 15]",0.40432
"[0, 16]",0.66667
"[0, 17]",0.65626
"[0, 18]",0.66667
"[0, 19]",0.66643
"[0, 20]",0.66647
"[0, 21]",0.33452
"[0, 22]",0.53602
"[0, 23]",0.66667
"[0, 24]",0.66452
"[0, 25]",0.33334
"[0, 27]",0.33463
"[0, 28]",0.66420
"[0, 29]",0.65149
"[0, 30]",0.66666
"[0, 31]",0.33325
"[0, 32]",0.34690
"[0, 33]",0.33361
"[0, 34]",0.33341
"[0, 35]",0.33341
"[0, 36]",0.33684
"[0, 37]",0.66667
"[0, 38]",0.40066
"[0, 39]",0.66644
"[0, 40]",0.66667
"[0, 41]",0.66666
"[0, 42]",0.33394
"[0, 43]",0.61802
"[0, 44]",0.66667
"[0, 46]",0.66500
"[0, 47]",0.33334
"[0, 48]",0.31389
"[0, 50]",0.66660
"[0, 51]",0.66667
"[0, 52]",0.33336
"[0, 53]",0.33334
"[0, 54]",0.66667
"[0, 55]",0.40700
"[0, 57]",0.33572
"[0, 58]",0.66667
"[0, 60]",0.66667
"[0, 61]",0.36326
"[0, 62]",0.66667
"[0, 63]",0.66667
"[0, 64]",0.66667
"[0, 65]",0.45846
"[0, 66]",0.33332
"[0, 67]",0.33336
"[0, 69]",0.66658
"[0, 70]",0.66665
"[0, 71]",0.33349
"[0, 72]",0.66667
"[0, 73]",0.33337
"[0, 74]",0.33352
"[0, 75]",0.66667
"[0, 76]",0.66667
"[0, 77]",0.66667
"[0, 78]",0.66384
"[0, 79]",0.33200
"[0, 266]",0.66666
"[0, 81]",0.30830
"[0, 82]",0.30990
"[0, 83]",0.31057
"[0, 84]",0.45651
"[0, 85]",0.45373
"[0, 86]",0.44251
"[0, 88]",0.33430
"[0, 89]",0.66667
"[0, 91]",0.66667
"[0, 93]",0.66667
"[0, 94]",0.33345
"[0, 95]",0.66468
"[0, 96]",0.66667
"[0, 98]",0.66667
"[0, 99]",0.34031
"[0, 267]",0.66666
"[0, 101]",0.33334
"[0, 102]",0.33530
"[0, 103]",0.33333
"[0, 104]",0.66667
"[0, 105]",0.66667
"[0, 106]",0.66667
"[0, 107]",0.33291
"[0, 108]",0.66667
"[0, 109]",0.33333
"[0, 110]",0.33339
"[0, 111]",0.33350
"[0, 112]",0.33329
"[0, 113]",0.46336
